순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR_1,WPA,포지션,BB/9
48,김성민,키움,1.4,50,0,0,0,2,0,0,5,56.1,17,16,230,53,13,1,0,11,0,2,38,0,4,2.56,2.75,1.14,161.9,152.3,1.4,1.03,좌중,1.76 
49,이용찬,두산,1.35,26,0,0,26,7,10,0,0,148.1,75,67,651,168,28,2,15,45,3,6,102,0,3,4.07,4.31,1.44,101,93.9,1.35,0.09,우선,2.73 
50,최동현,두산,1.29,34,0,0,3,1,2,1,4,54.1,17,16,228,52,12,1,1,16,1,4,38,0,1,2.65,3.29,1.25,154.9,125.5,1.29,-0.23,우선,2.66 
51,윤영삼,키움,1.29,54,0,0,0,3,3,1,3,62.2,23,20,254,60,12,2,5,14,1,1,56,0,3,2.87,3.32,1.18,144.1,123.5,1.29,-0.41,우중,2.03 
52,박민호,SK,1.26,47,0,0,0,3,1,0,4,50.1,17,15,209,49,10,0,2,14,0,4,22,0,0,2.68,4.12,1.25,158.7,102.7,1.26,-0.28,우중,2.51 
53,이형범,두산,1.21,67,0,0,0,6,3,19,10,61,25,18,258,57,6,0,4,19,2,9,31,0,2,2.66,4.52,1.25,154.6,90.5,1.21,1.23,우마,2.80 
54,안영명,한화,1.2,67,0,0,0,4,7,0,13,62,27,27,273,82,14,1,5,13,0,3,48,1,2,3.92,3.68,1.53,105.7,112.8,1.2,-1.91,우중,1.89 
55,양현,키움,1.2,29,0,0,3,1,0,0,1,40.2,10,9,159,31,5,1,1,11,0,1,25,0,0,1.99,3.38,1.03,207.8,123,1.2,0.55,좌선,2.46 
56,고영창,KIA,1.19,55,0,0,0,1,3,1,10,54,22,21,243,63,8,3,2,14,2,8,22,0,2,3.5,4.18,1.43,119.8,100.2,1.19,-0.93,우중,2.33 
57,장시환,롯데,1.18,27,0,0,27,6,13,0,0,125.1,78,69,570,147,29,1,12,58,1,2,109,0,17,4.95,4.32,1.64,84.6,97.2,1.18,-0.61,우선,4.17 
58,정영일,SK,1.17,44,0,0,0,1,2,1,8,42,15,15,175,32,3,1,1,22,2,1,35,0,2,3.21,3.55,1.29,132.4,118.9,1.17,0.44,우중,4.71 
59,이승현,삼성,1.16,34,0,0,0,2,1,0,8,37,11,8,147,28,3,0,2,11,0,1,31,0,2,1.95,3.4,1.05,223,124.8,1.16,0.36,우중,2.68 
60,라이블리,삼성,1.1,9,1,1,9,4,4,0,0,57,26,25,236,51,9,4,4,13,0,5,58,0,0,3.95,3.23,1.12,109.9,132.1,1.1,0.25,우선,2.05 
61,박시영,롯데,1.05,43,0,0,6,1,1,0,4,61.2,30,29,262,51,10,1,5,27,0,4,60,0,7,4.23,4.02,1.27,99.1,104.3,1.05,0.73,우선,3.97 
62,김태훈,SK,1.05,71,0,0,0,4,5,7,27,69.2,33,31,296,62,8,0,4,26,0,4,76,0,7,4,3.26,1.26,106.3,130.9,1.05,0.42,좌마,3.38 
63,최지광,삼성,1.03,63,0,0,0,3,8,2,10,68,33,31,303,64,9,3,4,40,3,5,60,0,3,4.1,4.26,1.53,105.8,99.5,1.03,-0.71,우중,5.29 
64,김승회,두산,1,55,0,0,0,3,3,3,7,58.2,24,20,250,57,12,3,1,16,1,2,46,0,5,3.07,2.93,1.24,133.8,141.4,1,0.3,우중,2.47 
65,김대현,LG,0.99,41,0,0,2,5,4,0,8,65.2,31,28,282,63,11,1,2,27,1,4,39,0,3,3.84,3.98,1.37,107,103.4,0.99,1.36,우선,3.73 
